cell	value
A1	program
B1	relationship_reconstruction_error
C1	num_trees_rrl
D1	depth
E1	num_clusters
F1	num_mutations
G1	num_samples
H1	run
I1	perplexity
J1	num_trees_perplex
K1	truth_perplexity
L1	log_perplexity_ratio
A2	Pairtree
L35	0.0279674846976512
A36	Pairtree
B36	0.1018181818181818
C36	1
D36	50
E36	10
F36	100
G36	100
H36	4
I36	2.852053753915468
J36	1
K36	2.833203340655062
L36	0.0188504132604068
A37	Pairtree
B37	0.1852261306532663
C37	1
D37	50
E37	10
F37	200
G37	100
H37	2
I37	3.769634305736607
J37	1
K37	3.619233712192913
L37	0.150400593543694
A38	Pairtree
B38	0.0323232323232323
C38	1
D38	1000
E38	10
F38	100
G38	10
H38	1
I38	5.428795204180457
J38	1
K38	4.960045391138456
L38	0.4687498130420016
A39	Pairtree
B39	0.0583934167713059
C39	2
D39	1000
E39	10
F39	200
G39	10
H39	4
I39	5.304756252127282
J39	2
K39	4.772261451397395
L39	0.5324948007298866
A40	Pairtree
B40	0.0795495495495495
C40	1
D40	200
E40	10
F40	1000
G40	10
H40	2
I40	2.661872424923691
J40	1
K40	2.18671190784659
L40	0.4751605170771014
A41	Pairtree
B41	0.3062869894132923
C41	3
D41	200
E41	10
F41	100
G41	10
H41	2
I41	2.806000232957613
J41	3
K41	2.874448761758339
L41	-0.0684485288007263
A42	Pairtree
B42	0.0165829145728643
C42	1
D42	200
E42	10
F42	200
G42	10
H42	4
I42	3.409450453776212
J42	1
K42	3.433092521988726
L42	-0.0236420682125149
A43	Pairtree
B43	0.2925843230564279
C43	3
D43	50
E43	10
F43	100
G43	10
H43	1
I43	3.281042169653452
J43	3
K43	3.207839636723884
L43	0.0732025329295678
A44	Pairtree
B44	0.2692294671963756
C44	2
D44	50
E44	10
F44	100
G44	10
H44	3
I44	3.091020881922864
J44	2
K44	3.146678644519799
L44	-0.0556577625969341
A45	Pairtree
B45	0.1951627829137243
C45	4
D45	50
E45	10
F45	200
G45	10
H45	1
I45	2.377572702242773
J45	4
K45	2.228720804855084
L45	0.1488518973876882
A46	Pairtree
B46	0.3720805122192235
C46	12
D46	1000
E46	10
F46	1000
G46	1
H46	4
I46	3.018522762708094
J46	12
K46	3.067579141198659
L46	-0.0490563784905644
A47	Pairtree
B47	0.3991015274771953
C47	5
D47	200
E47	10
F47	100
G47	1
H47	1
I47	2.817044679562529
J47	5
K47	3.192013768858728
L47	-0.3749690892961985
A48	Pairtree
B48	0.2644979452474743
C48	30
D48	200
E48	10
F48	1000
G48	1
H48	2
I48	2.353253220548237
J48	30
K48	2.561314232707797
L48	-0.2080610121595598
A49	Pairtree
B49	0.5350407745094004
C49	3
D49	200
E49	10
F49	1000
G49	1
H49	3
I49	1.230041351722146
J49	3
K49	1.276439131960259
L49	-0.0463977802381134
A50	Pairtree
B50	0.5970513584197124
C50	5
D50	200
E50	10
F50	100
G50	1
H50	4
I50	1.410373019842391
J50	5
K50	1.859767027772303
L50	-0.4493940079299119
A51	Pairtree
B51	0.2961015591583409
C51	6
D51	200
E51	10
F51	200
G51	1
H51	2
I51	2.967252909102445
J51	6
K51	3.28663663431004
L51	-0.3193837252075946
A52	Pairtree
B52	0.4023772207124749
C52	2
D52	50
E52	10
F52	1000
G52	1
H52	2
I52	1.982315578256961
J52	2
K52	2.016530704433534
L52	-0.034215126176573
A53	Pairtree
B53	0.4668371544559345
C53	8
D53	50
E53	10
F53	1000
G53	1
H53	3
I53	3.166737692632661
J53	8
K53	3.441662050468318
L53	-0.2749243578356575
A54	Pairtree
B54	0.5090737943819666
C54	8
D54	50
E54	10
F54	100
G54	1
H54	4
I54	3.588630182255176
J54	8
K54	3.945552186040623
L54	-0.356922003785447
A55	Pairtree
B55	0.2575599870880746
C55	8
D55	50
E55	10
F55	200
G55	1
H55	1
I55	2.933894248562225
J55	8
K55	3.42725881729148
L55	-0.4933645687292549
A56	Pairtree
B56	0.0033633633633633
C56	1
D56	1000
E56	10
F56	1000
G56	30
H56	1
I56	5.293925838590118
J56	1
K56	5.132341417989173
L56	0.1615844206009447
A57	Pairtree
B57	0.0028008008008008
C57	2
D57	1000
E57	10
F57	1000
G57	30
H57	2
I57	4.844655600133608
J57	2
K57	4.825317306884209
L57	0.0193382932493992
A58	Pairtree
B58	0.0048484848484848
C58	1
D58	1000
E58	10
F58	100
G58	30
H58	1
I58	6.026696264731128
J58	1
K58	5.948745041589128
L58	0.07795122314199961
A59	Pairtree
B59	0.0024120603015075
C59	1
D59	1000
E59	10
F59	200
G59	30
H59	3
I59	4.427346647248784
J59	1
K59	4.396889030568176
L59	0.0304576166806072
A60	Pairtree
B60	0.1021181181181181
C60	2
D60	200
E60	10
F60	1000
G60	30
H60	1
I60	3.108497656110152
J60	2
K60	3.059478303425742
L60	0.0490193526844104
A61	Pairtree
B61	0.0008080808080807999
C61	1
D61	200
E61	10
F61	100
G61	30
H61	3
I61	4.123150698381036
J61	1
K61	4.060275347224231
L61	0.0628753511568058
A62	Pairtree
B62	0.0535678391959799
C62	1
D62	200
E62	10
F62	200
G62	30
H62	1
I62	3.352036995093097
J62	1
K62	3.309972073369227
L62	0.04206492172387
A63	Pairtree
B63	0.317979797979798
C63	1
D63	50
E63	10
F63	100
G63	30
H63	1
I63	3.008230341838254
J63	1
K63	2.812382591766339
L63	0.1958477500719153
A64	Pairtree
B64	0.1179396984924623
C64	1
D64	50
E64	10
F64	200
G64	30
H64	1
I64	2.817835149909292
J64	1
K64	2.762978249953059
L64	0.0548568999562326
A65	Pairtree
B65	0.174534618096505
C65	3
D65	200
E65	10
F65	1000
G65	3
H65	3
I65	2.428762453630617
J65	3
K65	2.480580178328283
L65	-0.0518177246976656
A66	Pairtree
B66	0.2215326917446596
C66	18
D66	200
E66	10
F66	100
G66	3
H66	4
I66	3.151027955831267
J66	18
K66	3.29821975218486
L66	-0.1471917963535927
A67	Pairtree
B67	0.1982687289914051
C67	6
D67	200
E67	10
F67	200
G67	3
H67	4
I67	2.416539081863101
J67	6
K67	2.537239817480592
L67	-0.1207007356174907
A68	Pairtree
B68	0.3575816522953092
C68	4
D68	50
E68	10
F68	1000
G68	3
H68	2
I68	0.972523999602156
J68	4
K68	0.9864558722244297
L68	-0.0139318726222735
A69	Pairtree
B69	0.1199240721210382
C69	35
D69	50
E69	10
F69	1000
G69	3
H69	3
I69	2.549605271271838
J69	35
K69	2.561524224832856
L69	-0.0119189535610182
A70	Pairtree
B70	0.5364142986345861
C70	3
D70	50
E70	10
F70	100
G70	3
H70	4
I70	2.623161858795794
J70	3
K70	2.831657654188327
L70	-0.2084957953925332
A71	Pairtree
B71	0.243000535207583
C71	10
D71	50
E71	10
F71	200
G71	3
H71	2
I71	1.942309721747994
J71	10
K71	2.103754579061441
L71	-0.1614448573134477
A72	Pairtree
B72	0.5033164296882563
C72	75
D72	50
