cell	value
A1	program
B1	sim_name
C1	num_samples
D1	v_measure
E1	num_mutations_pred
F1	num_mutations_true
G1	ancestor_descendant_f_score
H1	Success
I1	memory
J1	time
A2	PhyClone
I40	332.51
J40	10.6613
A41	Pairtree
B41	LTXSIM076
C41	4
D41	0.7105382974239951
E41	878
F41	878
G41	0.6614822549513566
H41	1
I41	1122.66
J41	118.0459
A42	PhyClone
B42	LTXSIM139
C42	9
D42	0.7397502326992171
E42	724
F42	724
G42	0.8412432072388176
H42	1
I42	1345.27
J42	1216.9602
A43	CONIPHER
B43	LTXSIM139
C43	9
D43	0.7346551045025682
E43	639
F43	724
G43	0.8214608720997518
H43	1
I43	180.85
J43	81.7004
A44	fastBE
B44	LTXSIM139
C44	9
D44	0.725650918917477
E44	724
F44	724
G44	0.8296819572796614
H44	1
I44	43.58
J44	2.9053
A45	Orchard
B45	LTXSIM139
C45	9
D45	0.725650918917477
E45	724
F45	724
G45	0.3947983635300993
H45	1
I45	332.29
J45	12.7853
A46	Pairtree
B46	LTXSIM139
C46	9
D46	0.725650918917477
E46	724
F46	724
G46	0.2600691110433927
H46	1
I46	1082.63
J46	118.3072
A47	PhyClone
B47	LTXSIM109
C47	13
D47	0.8399086589441638
E47	1331
F47	1345
G47	0.8343349044111472
H47	1
I47	1425.58
J47	974.2396
A48	CONIPHER
B48	LTXSIM109
C48	13
D48	0.8358411439868654
E48	1107
F48	1345
G48	0.7937349972812753
H48	1
I48	195.47
J48	170.2252
A49	fastBE
B49	LTXSIM109
C49	13
D49	0.8279261631199174
E49	1345
F49	1345
G49	0.8248654047288376
H49	1
I49	28.47
J49	4.0015
A50	Orchard
B50	LTXSIM109
C50	13
D50	0.8279261631199174
E50	1345
F50	1345
G50	0.5532251451789572
H50	1
I50	338.44
J50	14.1707
A51	Pairtree
B51	LTXSIM109
C51	13
D51	0.8279261631199174
E51	1345
F51	1345
G51	0.5734573705524719
H51	1
I51	1143.83
J51	137.4874
A52	PhyClone
B52	LTXSIM036
C52	2
D52	0.7314589712329139
E52	858
F52	858
G52	0.6887634153700272
H52	1
I52	1112.61
J52	825.404
A53	CONIPHER
B53	LTXSIM036
C53	2
D53	0.7687741987068339
E53	818
F53	858
G53	0.6204842728122081
H53	1
I53	159.64
J53	35.344
A54	fastBE
B54	LTXSIM036
C54	2
D54	0.74978651881839
E54	858
F54	858
G54	0.6979723063314395
H54	1
I54	31.92
J54	2.2873
A55	Orchard
B55	LTXSIM036
C55	2
D55	0.74978651881839
E55	858
F55	858
G55	0.7421406650931804
H55	1
I55	69.53
J55	6.6862
A56	Pairtree
B56	LTXSIM036
C56	2
D56	0.74978651881839
E56	858
F56	858
G56	0.1004531874181745
H56	1
I56	1104.73
J56	121.4028
A57	PhyClone
B57	LTXSIM051
C57	4
D57	0.8595020661186564
E57	594
F57	594
G57	0.6749795937327874
H57	1
I57	1232.25
J57	1095.2765
A58	CONIPHER
B58	LTXSIM051
C58	4
D58	0.8690398585087915
E58	524
F58	594
G58	0.75382304948665
H58	1
I58	153.5
J58	41.7824
A59	fastBE
B59	LTXSIM051
C59	4
D59	0.8595020661186564
E59	594
F59	594
G59	0.6383072542646206
H59	1
I59	41.52
J59	1.9615
A60	Orchard
B60	LTXSIM051
C60	4
D60	0.8595020661186564
E60	594
F60	594
G60	0.6857642509907106
H60	1
I60	278.63
J60	9.2859
A61	Pairtree
B61	LTXSIM051
C61	4
D61	0.8595020661186564
E61	594
F61	594
G61	0.6785531161142964
H61	1
I61	1126.84
J61	118.0436
A62	PhyClone
B62	LTXSIM074
C62	7
D62	0.8023064979248314
E62	718
F62	718
G62	0.6886519242680416
H62	1
I62	1192.23
J62	559.7613
A63	CONIPHER
B63	LTXSIM074
C63	7
D63	0.8007727346571432
E63	652
F63	718
G63	0.6933348263023822
H63	1
I63	158.99
J63	57.0717
A64	fastBE
B64	LTXSIM074
C64	7
D64	0.7884297638138674
E64	718
F64	718
G64	0.7194896412932376
H64	1
I64	33.74
J64	2.3725
A65	Orchard
B65	LTXSIM074
C65	7
D65	0.7884297638138674
E65	718
F65	718
G65	0.5396030801635824
H65	1
I65	332.04
J65	10.3631
A66	Pairtree
B66	LTXSIM074
C66	7
D66	0.7884297638138674
E66	718
