cell	value
A1	program
B1	sim_name
C1	num_samples
D1	v_measure
E1	num_mutations_pred
F1	num_mutations_true
G1	ancestor_descendant_f_score
H1	Success
I1	memory
J1	time
A2	PhyClone
I40	333.94
J40	7.1586
A41	Pairtree
B41	LTXSIM076
C41	5
D41	0.9397821362894584
E41	1005
F41	1005
G41	0.8578557260674392
H41	1
I41	1112.54
J41	122.2993
A42	PhyClone
B42	LTXSIM139
C42	9
D42	0.8083428455779725
E42	690
F42	690
G42	0.8516281301103396
H42	1
I42	1257.03
J42	872.9545000000001
A43	CONIPHER
B43	LTXSIM139
C43	9
D43	0.7798895301379014
E43	649
F43	690
G43	0.7468607219583043
H43	1
I43	160.91
J43	75.4115
A44	fastBE
B44	LTXSIM139
C44	9
D44	0.8083428455779725
E44	690
F44	690
G44	0.8132487820415373
H44	1
I44	30.37
J44	2.4883
A45	Orchard
B45	LTXSIM139
C45	9
D45	0.8083428455779725
E45	690
F45	690
G45	0.7157344208453642
H45	1
I45	332.11
J45	5.0471
A46	Pairtree
B46	LTXSIM139
C46	9
D46	0.8083428455779725
E46	690
F46	690
G46	0.6830699846468782
H46	1
I46	1140.39
J46	122.1577
A47	PhyClone
B47	LTXSIM109
C47	8
D47	0.9234231622372074
E47	593
F47	593
G47	0.9849600522655196
H47	1
I47	1294.05
J47	895.135
A48	CONIPHER
B48	LTXSIM109
C48	8
D48	0.9116823533158904
E48	574
F48	593
G48	0.9223546825909344
H48	1
I48	159.05
J48	60.3007
A49	fastBE
B49	LTXSIM109
C49	8
D49	0.9234231622372074
E49	593
F49	593
G49	0.9861193026732686
H49	1
I49	28.2
J49	2.3899
A50	Orchard
B50	LTXSIM109
C50	8
D50	0.9234231622372074
E50	593
F50	593
G50	0.6229471400246904
H50	1
I50	340.15
J50	10.9781
A51	Pairtree
B51	LTXSIM109
C51	8
D51	0.9234231622372074
E51	593
F51	593
G51	0.6621005392493938
H51	1
I51	1145.25
J51	109.1416
A52	PhyClone
B52	LTXSIM036
C52	2
D52	0.8155718675905935
E52	375
F52	375
G52	0.9077018708267328
H52	1
I52	1073.41
J52	391.3717
A53	CONIPHER
B53	LTXSIM036
C53	2
D53	0.7963175072686496
E53	370
F53	375
G53	0.8826258313490435
H53	1
I53	176.95
J53	13.4418
A54	fastBE
B54	LTXSIM036
C54	2
D54	0.8155718675905935
E54	375
F54	375
G54	0.9103459543356616
H54	1
I54	31.92
J54	1.8015
A55	Orchard
B55	LTXSIM036
C55	2
D55	0.8155718675905935
E55	375
F55	375
G55	0.92266741949144
H55	1
I55	330.18
J55	11.933
A56	Pairtree
B56	LTXSIM036
C56	2
D56	0.8155718675905935
E56	375
F56	375
G56	0.8803173070869447
H56	1
I56	1124.7
J56	101.0703
A57	PhyClone
B57	LTXSIM051
C57	7
D57	0.9204824427260224
E57	960
F57	960
G57	0.9840877138912696
H57	1
I57	1179.32
J57	544.6863
A58	CONIPHER
B58	LTXSIM051
C58	7
D58	0.9189383841408646
E58	945
F58	960
G58	0.9455609656135198
H58	1
I58	201.18
J58	67.67140000000001
A59	fastBE
B59	LTXSIM051
C59	7
D59	0.9204824427260224
E59	960
F59	960
G59	0.9585735140592812
H59	1
I59	31.15
J59	2.4348
A60	Orchard
B60	LTXSIM051
C60	7
D60	0.9204824427260224
E60	960
F60	960
G60	0.8522901254882882
H60	1
I60	334.11
J60	5.8542
A61	Pairtree
B61	LTXSIM051
C61	7
D61	0.9204824427260224
E61	960
F61	960
G61	0.8522901254882882
H61	1
I61	1063.71
J61	105.428
A62	PhyClone
B62	LTXSIM074
C62	4
D62	0.8891053653640921
E62	1155
F62	1155
G62	0.9594948586019396
H62	1
I62	1195.85
J62	629.9866000000001
A63	CONIPHER
B63	LTXSIM074
C63	4
D63	0.8891053653640921
E63	1155
F63	1155
G63	0.9342844129703364
H63	1
I63	159.1
J63	41.0501
A64	fastBE
B64	LTXSIM074
