cell	value
A1	program
B1	sim_name
C1	num_samples
D1	v_measure
E1	num_mutations_pred
F1	num_mutations_true
G1	ancestor_descendant_f_score
H1	Success
I1	memory
J1	time
A2	PhyClone
A41	Orchard
B41	LTXSIM103
C41	8
D41	0.8851682334118393
E41	2005
F41	2005
G41	0.7688780734006146
H41	1
I41	
J41	14.5797
A42	Orchard
B42	LTXSIM103
C42	8
D42	0.8581257736634057
E42	2005
F42	2005
G42	0.5057220048681645
H42	1
I42	
J42	8.4544
A43	Orchard
B43	LTXSIM103
C43	8
D43	0.8028690639097565
E43	2005
F43	2005
G43	0.7434270183218917
H43	1
I43	
J43	13.441
A44	Pairtree
B44	LTXSIM103
C44	8
D44	0.8851682334118393
E44	2005
F44	2005
G44	0.7688780734006146
H44	1
I44	538.66
J44	151.821
A45	Pairtree
B45	LTXSIM103
C45	8
D45	0.8581257736634057
E45	2005
F45	2005
G45	0.5057220048681645
H45	1
I45	552.3
J45	166.0868
A46	Pairtree
B46	LTXSIM103
C46	8
D46	0.8028690639097565
E46	2005
F46	2005
G46	0.5630807687430942
H46	1
I46	552.27
J46	162.8714
A47	PhyClone
B47	LTXSIM118
C47	8
D47	0.8553497837723552
E47	1047
F47	1047
G47	0.9695667066278472
H47	1
I47	1222
J47	1107.0107
A48	PhyClone
B48	LTXSIM118
C48	8
D48	0.8267272375038414
E48	1047
F48	1047
G48	0.93496875802448
H48	1
I48	1197.19
J48	873.0861
A49	PhyClone
B49	LTXSIM118
C49	8
D49	0.7911103716391564
E49	1047
F49	1047
G49	0.8572090637764087
H49	1
I49	1280.65
J49	3613.7492
A50	CONIPHER
B50	LTXSIM118
C50	8
D50	0.855349783772355
E50	1047
F50	1047
G50	0.9670194105514756
H50	1
I50	186.11
J50	142.3834
A51	CONIPHER
B51	LTXSIM118
C51	8
D51	0.8267272375038413
E51	1047
F51	1047
G51	0.9475887640410466
H51	1
I51	195.8
J51	145.3547
A52	CONIPHER
B52	LTXSIM118
C52	8
D52	0.8276912449145319
E52	974
F52	1047
G52	0.82151746593868
H52	1
I52	188.13
J52	190.9592
A53	fastBE
B53	LTXSIM118
C53	8
D53	0.855349783772355
E53	1047
F53	1047
G53	0.9568711425507284
H53	1
I53	24.79
J53	35.7553
A54	fastBE
B54	LTXSIM118
C54	8
D54	0.8267272375038413
E54	1047
F54	1047
G54	0.940334087106282
H54	1
I54	21.79
J54	26.0993
A55	fastBE
B55	LTXSIM118
C55	8
D55	0.7911103716391564
E55	1047
F55	1047
G55	0.8541121676208552
H55	1
I55	21.89
J55	41.7069
A56	Orchard
B56	LTXSIM118
C56	8
D56	0.855349783772355
E56	1047
F56	1047
G56	0.8252159654455287
H56	1
I56	
J56	11.7518
A57	Orchard
B57	LTXSIM118
C57	8
D57	0.8267272375038413
E57	1047
F57	1047
G57	0.640472632462293
H57	1
I57	
J57	12.4032
A58	Orchard
B58	LTXSIM118
C58	8
D58	0.7911103716391564
E58	1047
F58	1047
G58	0.6915515070934525
H58	1
I58	
J58	14.9715
A59	Pairtree
B59	LTXSIM118
C59	8
D59	0.855349783772355
E59	1047
F59	1047
G59	0.873027991774347
H59	1
I59	536.02
J59	139.8391
A60	Pairtree
B60	LTXSIM118
C60	8
D60	0.8267272375038413
E60	1047
F60	1047
G60	0.640472632462293
H60	1
I60	535.63
J60	139.7675
A61	Pairtree
B61	LTXSIM118
C61	8
D61	0.7911103716391564
E61	1047
F61	1047
G61	0.6321146547160104
H61	1
I61	550.46
J61	173.6323
A62	PhyClone
B62	LTXSIM104
C62	9
D62	0.8667356013902369
E62	289
F62	289
G62	0.9448239134964922
H62	1
I62	1243.91
J62	3019.0111
A63	PhyClone
B63	LTXSIM104
C63	9
D63	0.8795108552377575
E63	289
F63	289
G63	0.9582920706570554
H63	1
I63	1240.54
J63	2252.4141
A64	PhyClone
B64	LTXSIM104
C64	9
D64	0.8800353711993779
E64	289
F64	289
G64	0.9568416002193332
H64	1
I64	1250.55
J64	3233.798
A65	CONIPHER
B65	LTXSIM104
C65	9
D65	0.8646099698095056
E65	286
F65	289
G65	0.9305137361996124
H65	1
I65	183.57
J65	107.4641
A66	CONIPHER
B66	LTXSIM104
C66	9
D66	0.8787514690972853
E66	284
F66	289
G66	0.9402718337017354
H66	1
I66	181
J66	129.3178
A67	CONIPHER
B67	LTXSIM104
C67	9
D67	0.8767284549546284
E67	273
F67	289
G67	0.8967983734659383
H67	1
I67	183.12
J67	126.1879
A68	fastBE
B68	LTXSIM104
C68	9
D68	0.8667356013902369
E68	289
F68	289
G68	0.9392827940661138
H68	1
I68	20.11
J68	27.3726
A69	fastBE
B69	LTXSIM104
C69	9
D69	0.8795108552377575
E69	289
F69	289
G69	0.9582920706570554
H69	1
I69	20.55
J69	29.2137
A70	fastBE
B70	LTXSIM104
C70	9
D70	0.880035371199378
E70	289
F70	289
G70	0.9546998082653791
H70	1
I70	1.5
J70	36.5121
A71	Orchard
B71	LTXSIM104
C71	9
D71	0.8667356013902369
E71	289
F71	289
